fishID,Year,Length,Weight_kg,Age,Notes,Capture
1,2017,697,4.8,3,,
1,2017,642.6126976,4.8,2,,
1,2017,588.2253952,4.8,1,,
2,2017,1085,17.4,19,,
2,2017,1067.550075,17.4,18,,
2,2017,1050.100151,17.4,17,,
2,2017,1032.650226,17.4,16,,
2,2017,1003.567019,17.4,15,,
2,2017,974.4838111,17.4,14,,
2,2017,916.3173958,17.4,13,,
2,2017,898.8674713,17.4,12,,
2,2017,869.7842636,17.4,11,,
2,2017,829.067773,17.4,10,,
2,2017,805.8012069,17.4,9,,
2,2017,759.2680747,17.4,8,,
2,2017,706.918301,17.4,7,,
2,2017,660.3851688,17.4,6,,
2,2017,625.4853197,17.4,5,,
2,2017,584.768829,17.4,4,,
2,2017,526.6024138,17.4,3,,
2,2017,480.0692816,17.4,2,,
2,2017,456.8027155,17.4,1,,
3,2017,1083,13.2,13,,
3,2017,1049.564716,13.2,12,,
3,2017,1004.984338,13.2,11,,
3,2017,971.5490542,13.2,10,,
3,2017,949.258865,13.2,9,,
3,2017,910.251034,13.2,8,,
3,2017,865.6706556,13.2,7,,
3,2017,809.9451827,13.2,6,,
3,2017,770.9373517,13.2,5,,
3,2017,720.7844261,13.2,4,,
3,2017,642.768764,13.2,3,,
3,2017,509.027629,13.2,2,,
3,2017,397.5766832,13.2,1,,
4,2017,1005,9.4,14,,
4,2017,970.7122633,9.4,13,,
4,2017,924.9952811,9.4,12,,
4,2017,844.9905623,9.4,11,,
4,2017,804.9882028,9.4,10,,
4,2017,770.7004662,9.4,9,,
4,2017,713.5542384,9.4,8,,
4,2017,667.8372562,9.4,7,,
4,2017,639.2641423,9.4,6,,
4,2017,582.1179145,9.4,5,,
4,2017,547.8301779,9.4,4,,
4,2017,496.3985729,9.4,3,,
4,2017,404.9646085,9.4,2,,
4,2017,290.6721529,9.4,1,,
5,2017,1227,18.8,17,,
5,2017,1197.074979,18.8,16,,
5,2017,1143.209942,18.8,15,,
5,2017,1083.3599,18.8,14,,
5,2017,1029.494863,18.8,13,,
5,2017,987.599834,18.8,12,,
5,2017,933.7347967,18.8,11,,
5,2017,903.8097759,18.8,10,,
5,2017,831.9897261,18.8,9,,
5,2017,784.1096929,18.8,8,,
5,2017,724.2596515,18.8,7,,
5,2017,658.4246058,18.8,6,,
5,2017,556.6795353,18.8,5,,
5,2017,496.8294938,18.8,4,,
5,2017,425.009444,18.8,3,,
5,2017,383.1144149,18.8,2,,
5,2017,305.309361,18.8,1,,
6,2017,NA,16.1,NA,,
7,2017,904,10.4,5,,
7,2017,794.179893,10.4,4,,
7,2017,702.6631371,10.4,3,,
7,2017,556.2363278,10.4,2,,
7,2017,364.0511405,10.4,1,,
8,2017,NA,14.6,NA,,
9,2017,956,12.6,11,,
9,2017,905.6833014,12.6,10,,
